"total_kills_headshot"
521
20559
1190
4502
39954
46135
9139
16472
7857
6576
3683
6993
125
7608
315
6414
1824
5697
1338
10550
29323
14573
5695
18357
2538
5414
6918
32012
8296
14816
7377
6138
4860
3843
15203
11300
10639
2266
5252
9569
9070
18894
6665
19805
5417
5099
9007
6050
20116
12620
20058
2573
16197
5784
30488
8531
9393
4322
18815
8010
28183
17850
11337
4187
16337
11313
16770
2670
9933
12297
2425
6367
3243
4872
8779
3887
15788
8914
972
6199
20905
10412
12172
13486
2570
36807
2703
8073
10121
19958
9631
17335
26559
10125
10460
8277
20910
20423
24285
4606
12944
2781
24331
15032
9346
6843
6735
8693
3573
20069
9601
13456
4565
15032
6697
17405
1722
20010
14043
4936
3002
25287
2363
11133
16705
15129
33569
7393
6044
29241
2061
20577
9997
14187
9332
10791
3884
10265
19336
15776
17260
5559
5797
5960
11821
10406
9427
6791
8886
6689
9170
11608
8494
45936
12940
25111
12288
13871
20448
7255
7077
9459
8079
21128
3354
11630
9147
4663
7735
2860
5831
19734
8307
9865
3069
24039
33898
19804
30054
3300
9204
10647
5571
7805
18546
6215
19820
28476
4988
14302
11028
1752
23857
6089
3753
16733
14488
4491
2124
16377
9618
4464
17507
21553
6927
17877
9870
7812
4333
13125
6047
10104
6719
12644
36737
697
5615
5496
15500
16334
9165
5339
14753
13439
6920
16705
48200
2964
8153
34955
1060
4998
4389
13446
25287
8050
30341
38469
11213
32849
11626
12693
4406
8688
10975
3521
11750
4968
14008
34186
4913
12495
7653
11703
13770
10087
8247
6173
8537
7515
3851
28087
7510
40500
10644
1602
5900
7241
21443
8500
8021
8672
2881
18040
6983
36014
11268
15652
5963
15
7962
15098
5347
20489
8267
5827
8721
16203
14929
77760
32124
18419
8253
3015
8733
12201
3990
11809
21950
5413
3951
2270
1382
4947
31856
7234
2484
7208
1967
5228
21234
11314
13805
8490
11166
8305
11852
10142
10653
11997
16248
35571
40095
14413
11472
3670
14595
4356
55149
18768
7180
3882
14428
2021
9753
5202
19815
4861
37136
7635
7429
9887
12353
2374
17569
13491
6707
9080
21610
6418
8350
2951
9263
17132
21467
33278
22854
5913
81232
6500
17150
17867
16472
4068
4896
9714
4669
10018
18169
14134
521
6861
18894
9698
4516
9346
12251
8278
48757
8093
1185
4830
3103
7934
1444
6213
17755
3103
4465
6754
3556
621
13351
1220
15269
3958
9358
25969
14784
8507
5735
2390
4116
38559
12204
3470
23003
1470
14979
27991
2996
17301
11449
3276
8474
8743
5211
6292
14024
9688
5546
9553
23580
12759
19207
9274
4875
664
14901
14799
49139
16311
16711
18131
18070
7122
9968
2897
3981
6342
10211
2462
33347
12895
13189
5946
2912
8867
3302
8529
6771
5062
21583
3577
23009
5306
6803
5306
1988
26961
14695
2185
9867
7057
9927
9300
1687
3042
1204
8602
10630
12421
12873
11695
22053
13273
5682
5967
2902
5984
6958
2745
4335
5137
36725
